measure,pair,both_zero,a_only,b_only,both_nonzero,agreement
task_count,claude_ai_2025_09 vs claude_ai_2026_01,14999,261,813,2355,0.9417191230735836
task_count,claude_ai_2025_09 vs claude_ai_2026_03,14918,252,894,2364,0.9378120251790754
task_count,1p_api_2025_09 vs 1p_api_2026_01,15805,372,569,1682,0.9489364011287171
task_count,1p_api_2025_09 vs 1p_api_2026_03,15779,352,595,1702,0.9486108096375081
task_count,claude_ai_2026_01 vs claude_ai_2026_03,14888,282,372,2886,0.9645105274582157
task_count,1p_api_2026_01 vs 1p_api_2026_03,15810,321,367,1930,0.9626655090080313
automation_count,claude_ai_2025_09 vs claude_ai_2026_01,16456,268,384,1320,0.9646190579552855
automation_count,claude_ai_2025_09 vs claude_ai_2026_03,16373,240,467,1348,0.9616344692858694
automation_count,1p_api_2025_09 vs 1p_api_2026_01,16191,332,501,1404,0.9547970479704797
automation_count,1p_api_2025_09 vs 1p_api_2026_03,16211,335,481,1401,0.955719557195572
automation_count,claude_ai_2026_01 vs claude_ai_2026_03,16445,168,279,1536,0.9757434339049272
automation_count,1p_api_2026_01 vs 1p_api_2026_03,16242,304,281,1601,0.9682548296071196
augmentation_count,claude_ai_2025_09 vs claude_ai_2026_01,16382,181,536,1329,0.9610918168005209
augmentation_count,claude_ai_2025_09 vs claude_ai_2026_03,16323,179,595,1331,0.9579986976340351
augmentation_count,1p_api_2025_09 vs 1p_api_2026_01,17766,125,157,380,0.9846971999131756
augmentation_count,1p_api_2025_09 vs 1p_api_2026_03,17699,118,224,387,0.9814412850010853
augmentation_count,claude_ai_2026_01 vs claude_ai_2026_03,16341,161,222,1704,0.979216409811157
augmentation_count,1p_api_2026_01 vs 1p_api_2026_03,17722,95,169,442,0.9856739743868027
