measure,platform,row,col,corr
task_count,1p_api,1p_api_2025_09,1p_api_2025_09,1.0
task_count,1p_api,1p_api_2025_09,1p_api_2026_01,0.9255107819685151
task_count,1p_api,1p_api_2025_09,1p_api_2026_03,0.8496837260194259
task_count,1p_api,1p_api_2026_01,1p_api_2025_09,0.9255107819685151
task_count,1p_api,1p_api_2026_01,1p_api_2026_01,1.0
task_count,1p_api,1p_api_2026_01,1p_api_2026_03,0.966191687767116
task_count,1p_api,1p_api_2026_03,1p_api_2025_09,0.8496837260194259
task_count,1p_api,1p_api_2026_03,1p_api_2026_01,0.966191687767116
task_count,1p_api,1p_api_2026_03,1p_api_2026_03,1.0
task_count,claude_ai,claude_ai_2025_09,claude_ai_2025_09,1.0
task_count,claude_ai,claude_ai_2025_09,claude_ai_2026_01,0.9196821630397726
task_count,claude_ai,claude_ai_2025_09,claude_ai_2026_03,0.9186967689670296
task_count,claude_ai,claude_ai_2026_01,claude_ai_2025_09,0.9196821630397726
task_count,claude_ai,claude_ai_2026_01,claude_ai_2026_01,1.0
task_count,claude_ai,claude_ai_2026_01,claude_ai_2026_03,0.9772300858762271
task_count,claude_ai,claude_ai_2026_03,claude_ai_2025_09,0.9186967689670296
task_count,claude_ai,claude_ai_2026_03,claude_ai_2026_01,0.9772300858762271
task_count,claude_ai,claude_ai_2026_03,claude_ai_2026_03,1.0
automation_count,1p_api,1p_api_2025_09,1p_api_2025_09,1.0
automation_count,1p_api,1p_api_2025_09,1p_api_2026_01,0.9417691940951305
automation_count,1p_api,1p_api_2025_09,1p_api_2026_03,0.8895654488451208
automation_count,1p_api,1p_api_2026_01,1p_api_2025_09,0.9417691940951305
automation_count,1p_api,1p_api_2026_01,1p_api_2026_01,1.0
automation_count,1p_api,1p_api_2026_01,1p_api_2026_03,0.9710515050073835
automation_count,1p_api,1p_api_2026_03,1p_api_2025_09,0.8895654488451208
automation_count,1p_api,1p_api_2026_03,1p_api_2026_01,0.9710515050073835
automation_count,1p_api,1p_api_2026_03,1p_api_2026_03,1.0
automation_count,claude_ai,claude_ai_2025_09,claude_ai_2025_09,1.0
automation_count,claude_ai,claude_ai_2025_09,claude_ai_2026_01,0.9222243260588585
automation_count,claude_ai,claude_ai_2025_09,claude_ai_2026_03,0.9316929848829753
automation_count,claude_ai,claude_ai_2026_01,claude_ai_2025_09,0.9222243260588585
automation_count,claude_ai,claude_ai_2026_01,claude_ai_2026_01,1.0
automation_count,claude_ai,claude_ai_2026_01,claude_ai_2026_03,0.9777616021173645
automation_count,claude_ai,claude_ai_2026_03,claude_ai_2025_09,0.9316929848829753
automation_count,claude_ai,claude_ai_2026_03,claude_ai_2026_01,0.9777616021173645
automation_count,claude_ai,claude_ai_2026_03,claude_ai_2026_03,1.0
augmentation_count,1p_api,1p_api_2025_09,1p_api_2025_09,1.0
augmentation_count,1p_api,1p_api_2025_09,1p_api_2026_01,0.9279350261184091
augmentation_count,1p_api,1p_api_2025_09,1p_api_2026_03,0.8562771354003162
augmentation_count,1p_api,1p_api_2026_01,1p_api_2025_09,0.9279350261184091
augmentation_count,1p_api,1p_api_2026_01,1p_api_2026_01,1.0
augmentation_count,1p_api,1p_api_2026_01,1p_api_2026_03,0.9557997983032558
augmentation_count,1p_api,1p_api_2026_03,1p_api_2025_09,0.8562771354003162
augmentation_count,1p_api,1p_api_2026_03,1p_api_2026_01,0.9557997983032558
augmentation_count,1p_api,1p_api_2026_03,1p_api_2026_03,1.0
augmentation_count,claude_ai,claude_ai_2025_09,claude_ai_2025_09,1.0
augmentation_count,claude_ai,claude_ai_2025_09,claude_ai_2026_01,0.8918947016311336
augmentation_count,claude_ai,claude_ai_2025_09,claude_ai_2026_03,0.8884172082778901
augmentation_count,claude_ai,claude_ai_2026_01,claude_ai_2025_09,0.8918947016311336
augmentation_count,claude_ai,claude_ai_2026_01,claude_ai_2026_01,1.0
augmentation_count,claude_ai,claude_ai_2026_01,claude_ai_2026_03,0.9784131079519705
augmentation_count,claude_ai,claude_ai_2026_03,claude_ai_2025_09,0.8884172082778901
augmentation_count,claude_ai,claude_ai_2026_03,claude_ai_2026_01,0.9784131079519705
augmentation_count,claude_ai,claude_ai_2026_03,claude_ai_2026_03,1.0
