soc_2010,title_2010,group_id,equal_1p_api_task_count,equal_claude_ai_task_count,equal_1p_api_automation_count,equal_claude_ai_automation_count,equal_1p_api_augmentation_count,equal_claude_ai_augmentation_count,equal_total_task_count,equal_total_automation_count,equal_total_augmentation_count,emp_1p_api_task_count,emp_claude_ai_task_count,emp_1p_api_automation_count,emp_claude_ai_automation_count,emp_1p_api_augmentation_count,emp_claude_ai_augmentation_count,emp_total_task_count,emp_total_automation_count,emp_total_augmentation_count,tot_emp_adjusted,tot_emp_imputed,emp_1p_api_task_count_pc,emp_claude_ai_task_count_pc,emp_1p_api_automation_count_pc,emp_claude_ai_automation_count_pc,emp_1p_api_augmentation_count_pc,emp_claude_ai_augmentation_count_pc,emp_total_task_count_pc,emp_total_automation_count_pc,emp_total_augmentation_count_pc
11-1011,Chief Executives,0,4857.0,9145.0,3825.0,2649.0,646.0,5768.0,14002.0,6474.0,6414.0,4857.0,9145.0,3825.0,2649.0,646.0,5768.0,14002.0,6474.0,6414.0,199240.0,199240.0,0.024377635013049587,0.04589941778759285,0.019197952218430035,0.013295522987351937,0.003242320819112628,0.02895001003814495,0.07027705280064245,0.03249347520578197,0.032192330857257576
11-1021,General and Operations Managers,1,1240.0,1200.0,973.0,488.0,125.0,544.0,2440.0,1461.0,669.0,1240.0,1200.0,973.0,488.0,125.0,544.0,2440.0,1461.0,669.0,3376680.0,3376680.0,0.0003672246111565206,0.0003553786559579232,0.0002881528602058827,0.00014452065342288875,3.7018609995616996e-05,0.00016110499070092518,0.0007226032671144438,0.00043267351362877147,0.00019812360069654218
11-1031,Legislators,2,55.0,455.0,0.0,171.0,0.0,126.0,510.0,171.0,126.0,55.0,455.0,0.0,171.0,0.0,126.0,510.0,171.0,126.0,42890.0,42890.0,0.0012823501981813943,0.010608533457682444,0.0,0.003986943343436699,0.0,0.0029377477267428305,0.011890883655863837,0.003986943343436699,0.0029377477267428305
11-2011,Advertising and Promotions Managers,3,8487.0,12075.0,6803.0,4440.0,899.0,6842.0,20562.0,11243.0,7741.0,8372.775214899713,11977.35623209169,6705.356232091691,4408.680300859599,899.0,6793.178116045845,20350.131446991403,11114.03653295129,7692.178116045845,22010.0,22010.0,0.3804077789595508,0.5441779296724985,0.3046504421668192,0.20030351207903674,0.04084507042253521,0.3086405323055813,0.9245857086320493,0.504953954245856,0.3494856027281165
11-2021,Marketing Managers,4,1043.0,3420.0,728.0,1058.0,60.0,1949.0,4463.0,1786.0,2009.0,1043.0,3420.0,728.0,1058.0,60.0,1949.0,4463.0,1786.0,2009.0,328570.0,328570.0,0.0031743616276592506,0.010408740907569164,0.0022156618072252487,0.00322001400006087,0.00018260948960647656,0.005931764920717047,0.013583102535228413,0.005435675807286118,0.006114374410323523
11-2022,Sales Managers,5,1702.0,599.0,1415.0,146.0,57.0,162.0,2301.0,1561.0,219.0,1816.2247851002865,696.6437679083094,1512.6437679083094,177.31969914040116,57.0,210.8218839541547,2512.868553008596,1689.9634670487105,267.8218839541547,536390.0,536390.0,0.0033860153714653264,0.0012987635263675859,0.0028200446837344274,0.00033057980040716856,0.00010626596319841905,0.0003930384309069049,0.004684778897832913,0.0031506244841415956,0.0004993043941053239
11-2031,Public Relations and Fundraising Managers (#),6,1889.0,7479.0,1420.0,2267.0,219.0,4815.0,9368.0,3687.0,5034.0,1889.0,7479.0,1420.0,2267.0,219.0,4815.0,9368.0,3687.0,5034.0,90520.0,90520.0,0.020868316394167034,0.08262262483429077,0.015687140963323024,0.025044189129474148,0.0024193548387096775,0.05319266460450729,0.1034909412284578,0.04073133009279717,0.05561201944321697
11-3011,Administrative Services Managers (#),7,64.0,50.0,54.0,0.0,0.0,0.0,114.0,54.0,0.0,64.0,50.0,54.0,0.0,0.0,0.0,114.0,54.0,0.0,353550.0,353550.0,0.00018102107198416064,0.0001414227124876255,0.00015273652948663555,0.0,0.0,0.0,0.00032244378447178614,0.00015273652948663555,0.0
11-3021,Computer and Information Systems Managers,8,1338.0,4204.0,832.0,1260.5,175.0,2598.0,5542.0,2092.5,2773.0,1370.5913227513229,4368.718306878307,856.6637037037037,1312.0295238095237,175.0,2701.0590476190473,5739.30962962963,2168.6932275132276,2876.0590476190473,533220.0,533220.0,0.0025704049412087373,0.008193087856566346,0.0016065858439362809,0.0024605782300167354,0.0003281947413825438,0.00506556214624179,0.010763492797775083,0.004067164073953017,0.005393756887624334
11-3031,Financial Managers,9,5531.0,4540.0,4264.0,1562.0,318.0,1901.0,10071.0,5826.0,2219.0,5531.0,4540.0,4264.0,1562.0,318.0,1901.0,10071.0,5826.0,2219.0,740780.0,740780.0,0.00746645427792327,0.0061286751802154486,0.00575609492696887,0.0021085882448230245,0.0004292772483058398,0.0025662139906584953,0.013595129458138719,0.007864683171791896,0.0029954912389643347
11-3051,Industrial Production Managers,10,247.0,320.0,172.0,33.0,0.0,36.0,567.0,205.0,36.0,247.0,320.0,172.0,33.0,0.0,36.0,567.0,205.0,36.0,211710.0,211710.0,0.0011666902838788908,0.001511501582353219,0.0008124321005148552,0.00015587360068017571,0.0,0.00017004392801473714,0.00267819186623211,0.0009683057011950309,0.00017004392801473714
11-3061,Purchasing Managers,11,2855.0,1222.0,2529.0,578.0,90.0,409.0,4077.0,3107.0,499.0,2855.0,1222.0,2529.0,578.0,90.0,409.0,4077.0,3107.0,499.0,75070.0,75070.0,0.03803117090715332,0.016278140402291193,0.03368855734647662,0.007699480484880778,0.0011988810443585986,0.0054482483015851875,0.05430931130944452,0.0413880378313574,0.006647129345943786
11-3071,"Transportation, Storage, and Distribution Managers",12,4864.0,1620.0,3808.0,432.0,212.0,620.0,6484.0,4240.0,832.0,4864.0,1620.0,3808.0,432.0,212.0,620.0,6484.0,4240.0,832.0,169910.0,169910.0,0.028626920134188688,0.009534459419692779,0.022411865105055617,0.002542522511918074,0.0012477193808486846,0.0036489906421046437,0.038161379553881464,0.024954387616973692,0.004896710022953328
11-3111,Compensation and Benefits Managers,13,186.0,753.0,129.0,157.0,0.0,271.0,939.0,286.0,271.0,144.50108470813782,718.970889460673,91.65097623732404,157.0,0.0,271.0,863.4719741688109,248.65097623732404,271.0,16850.0,16850.0,0.008575732030156548,0.04266889551695389,0.005439227076399053,0.009317507418397626,0.0,0.016083086053412462,0.05124462754711044,0.01475673449479668,0.016083086053412462
