task_key,soc_2010,1p_api_task_count,claude_ai_task_count,1p_api_automation_count,claude_ai_automation_count,1p_api_augmentation_count,claude_ai_augmentation_count,total_task_count,total_automation_count,total_augmentation_count
"direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",11-1011,36.0,80.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0
appoint department heads or managers and assign or delegate responsibilities to them.,11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",11-1011,4119.0,6889.0,3354.0,2181.0,623.0,4536.0,11008.0,5535.0,5159.0
"direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",11-1011,44.0,41.0,19.0,0.0,0.0,0.0,85.0,19.0,0.0
"prepare budgets for approval, including those for funding or implementation of programs.",11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",11-1011,247.0,504.0,205.0,182.0,0.0,274.0,751.0,387.0,274.0
implement corrective action plans to solve organizational or departmental problems.,11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
establish departmental responsibilities and coordinate functions among departments and sites.,11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"preside over or serve on boards of directors, management committees, or other governing boards.",11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",11-1011,0.0,19.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
review reports submitted by staff members to recommend approval or to suggest changes.,11-1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
