soc_2010,title_2010,group_id,oews_tot_emp_imputed,oews_a_mean,net_emp_pc_1p_api_count_pc,net_emp_pc_1p_api_count_pc_winsorized,net_emp_pc_claude_ai_count_pc,net_emp_pc_claude_ai_count_pc_winsorized,net_emp_pc_total_count_pc,net_emp_pc_total_count_pc_winsorized
11-1011,Chief Executives,0,211850.0,262930.0,0.0150059004012273,0.0150059004012273,-0.014722681142317699,-0.014722681142317699,0.00028321925890959984,0.00028321925890959984
11-1021,General and Operations Managers,1,3584420.0,133120.0,0.00023657941870647482,0.00023657941870647482,-1.562316915989999e-05,-1.562316915989999e-05,0.00022095624954670003,0.00022095624954670003
11-1031,Legislators,2,26510.0,67390.0,0.0,0.0,0.0016974726518295003,0.0016974726518295003,0.0016974726518295003,0.0016974726518295003
11-2011,Advertising and Promotions Managers,3,21100.0,149270.0,0.27512603300597704,0.27512603300597704,-0.11299920711441311,-0.11299920711441311,0.1621268258915639,0.1621268258915639
11-2021,Marketing Managers,4,384980.0,171520.0,0.0017351550729908,0.0017351550729908,-0.0023144059431659,-0.0023144059431659,-0.0005792508701751003,-0.0005792508701751003
11-2022,Sales Managers,5,603710.0,160930.0,0.002413146549790253,0.002413146549790253,-5.5849215494000045e-05,-5.5849215494000045e-05,0.0023572973342963002,0.0023572973342963002
11-2031,Public Relations and Fundraising Managers (#),6,112980.0,154948.46875553194,0.0106302000354045,0.0106302000354045,-0.022552664188351904,-0.022552664188351904,-0.011922464152947398,-0.011922464152947398
11-3011,Administrative Services Managers (#),7,395230.0,121921.13705943376,0.0001366293044556,0.0001366293044556,0.0,0.0,0.0001366293044556,0.0001366293044556
11-3021,Computer and Information Systems Managers,8,645970.0,187990.0,0.0010555469478742,0.0010555469478742,-0.0021509082809142996,-0.0021509082809142996,-0.0010953613330400998,-0.0010953613330400998
11-3031,Financial Managers,9,818620.0,180470.0,0.00482030734651,0.00482030734651,-0.0004141115535901997,-0.0004141115535901997,0.004406195792919801,0.004406195792919801
11-3051,Industrial Production Managers,10,234380.0,129180.0,0.0007338510111784,0.0007338510111784,-1.2799726939200022e-05,-1.2799726939200022e-05,0.0007210512842392,0.0007210512842392
11-3061,Purchasing Managers,11,81240.0,150630.0,0.0300221565731167,0.0300221565731167,0.0020802560315115997,0.0020802560315115997,0.0321024126046282,0.0321024126046282
11-3071,"Transportation, Storage, and Distribution Managers",12,213000.0,116010.0,0.0168826291079812,0.0168826291079812,-0.0008826291079812002,-0.0008826291079812002,0.016,0.016
11-3111,Compensation and Benefits Managers,13,20070.0,156230.0,0.004567370880893,0.004567370880893,-0.0056801195814649,-0.0056801195814649,-0.0011127487005718993,-0.0011127487005718993
11-3121,Human Resources Managers,14,215520.0,160480.0,0.0021219973386251,0.0021219973386251,-0.0004918337045286001,-0.0004918337045286001,0.0016301636340963997,0.0016301636340963997
11-3131,Training and Development Managers,15,44960.0,140590.0,0.0097864768683274,0.0097864768683274,-0.007762455516014198,-0.007762455516014198,0.0020240213523132003,0.0020240213523132003
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",16,5910.0,97240.0,0.0025380710659898,0.0025380710659898,-0.05922165820642979,-0.05922165820642979,-0.056683587140439994,-0.056683587140439994
11-9021,Construction Managers,17,348330.0,119660.0,0.0010909195303304,0.0010909195303304,-0.0005827806964660001,-0.0005827806964660001,0.0005081388338643998,0.0005081388338643998
11-9031,"Education Administrators, Preschool and Childcare Center/Program",18,71620.0,62640.0,0.003923485060039,0.003923485060039,0.0003211393465513005,0.0003211393465513005,0.0042446244065903,0.0042446244065903
11-9032,"Education Administrators, Elementary and Secondary School",19,319630.0,113360.0,0.0023183055407815,0.0023183055407815,-0.0021368457278729,-0.0021368457278729,0.00018145981290869882,0.00018145981290869882
11-9033,"Education Administrators, Postsecondary",20,176420.0,124450.0,0.0001983902051921,0.0001983902051921,-0.0010883119827683994,-0.0010883119827683994,-0.0008899217775761997,-0.0008899217775761997
11-9039,"Education Administrators, All Other",21,53330.0,99460.0,0.040596287267954306,0.040596287267954306,-0.0541533845865366,-0.0541533845865366,-0.0135570973185824,-0.0135570973185824
11-9041,Architectural and Engineering Managers,22,210340.0,175710.0,0.0013977369972424736,0.0013977369972424736,-0.0043453456308833,-0.0043453456308833,-0.0029476086336407007,-0.0029476086336407007
11-9051,Food Service Managers,23,244230.0,72370.0,0.0010195307701756,0.0010195307701756,6.96065184456582e-05,6.96065184456582e-05,0.0010891372886213582,0.0010891372886213582
11-9061,Funeral Service Managers,33,13120.0,85650.0,0.054725609756097505,0.054725609756097505,0.0100546141666981,0.0100546141666981,0.0647802239227956,0.0647802239227956
11-9071,Gaming Managers,24,4620.0,102480.0,0.0454545454545454,0.0454545454545454,0.0038961038961038,0.0038961038961038,0.0493506493506493,0.0493506493506493
11-9081,Lodging Managers,26,41350.0,77460.0,0.0118500604594921,0.0118500604594921,-0.0019588875453445988,-0.0019588875453445988,0.009891172914147501,0.009891172914147501
11-9111,Medical and Health Services Managers,27,565840.0,137730.0,0.0010833451152268206,0.0010833451152268206,0.00035522409161600006,0.00035522409161600006,0.0014385692068429,0.0014385692068429
11-9121,Natural Sciences Managers,28,100870.0,173500.0,0.0678596212947358,0.0678596212947358,0.0019629225736095997,0.0019629225736095997,0.0698225438683454,0.0698225438683454
11-9131,Postmasters and Mail Superintendents,29,13810.0,93760.0,0.0081100651701665,0.0081100651701665,0.0,0.0,0.0081100651701665,0.0081100651701665
11-9141,"Property, Real Estate, and Community Association Managers",30,296640.0,82720.0,0.0039745145631067,0.0039745145631067,-5.7308522114400164e-05,-5.7308522114400164e-05,0.0039172060409924,0.0039172060409924
11-9151,Social and Community Service Managers,31,195490.0,86100.0,0.001483451838968734,0.001483451838968734,-0.00038876668883320014,-0.00038876668883320014,0.0010946851501354997,0.0010946851501354997
11-9161,Emergency Management Directors,32,12570.0,97700.0,0.0,0.0,0.0,0.0,0.0,0.0
