soc_2010,title_2010,group_id,oews_tot_emp_allocated,oews_tot_emp_imputed,oews_emp_was_imputed,oews_a_mean,equal_1p_api_task_count,equal_claude_ai_task_count,equal_1p_api_automation_count,equal_claude_ai_automation_count,equal_1p_api_augmentation_count,equal_claude_ai_augmentation_count,equal_total_task_count,equal_total_automation_count,equal_total_augmentation_count,emp_1p_api_task_count,emp_claude_ai_task_count,emp_1p_api_automation_count,emp_claude_ai_automation_count,emp_1p_api_augmentation_count,emp_claude_ai_augmentation_count,emp_total_task_count,emp_total_automation_count,emp_total_augmentation_count,emp_1p_api_task_count_pc,emp_claude_ai_task_count_pc,emp_1p_api_automation_count_pc,emp_claude_ai_automation_count_pc,emp_1p_api_augmentation_count_pc,emp_claude_ai_augmentation_count_pc,emp_total_task_count_pc,emp_total_automation_count_pc,emp_total_augmentation_count_pc
11-1011,Chief Executives,0,211850.0,211850.0,False,262930.0,4857.0,9145.0,3825.0,2649.0,646.0,5768.0,14002.0,6474.0,6414.0,4857.0,9145.0,3825.0,2649.0,646.0,5768.0,14002.0,6474.0,6414.0,0.022926599008732593,0.04316733537880576,0.018055227755487374,0.012504130280859099,0.0030493273542600897,0.027226811423176775,0.06609393438753836,0.030559358036346473,0.030276138777436866
11-1021,General and Operations Managers,1,3584420.0,3584420.0,False,133120.0,1240.0,1200.0,973.0,488.0,125.0,544.0,2440.0,1461.0,669.0,1240.0,1200.0,973.0,488.0,125.0,544.0,2440.0,1461.0,669.0,0.0003459416028255617,0.0003347821962828017,0.0002714525641526384,0.0001361447598216727,3.487314544612517e-05,0.00015176792898153677,0.0006807237991083634,0.000407597323974311,0.00018664107442766193
11-1031,Legislators,2,26510.0,26510.0,False,67390.0,55.0,455.0,0.0,171.0,0.0,126.0,510.0,171.0,126.0,55.0,455.0,0.0,171.0,0.0,126.0,510.0,171.0,126.0,0.002074688796680498,0.017163334590720482,0.0,0.006450396076952094,0.0,0.004752923425122595,0.01923802338740098,0.006450396076952094,0.004752923425122595
11-2011,Advertising and Promotions Managers,3,21100.0,21100.0,False,149270.0,8487.0,12075.0,6803.0,4440.0,899.0,6842.0,20562.0,11243.0,7741.0,8371.375026007907,11976.159296426114,6704.1592964261135,4408.296378098942,899.0,6792.579648213057,20347.534322434018,11112.455674525056,7691.579648213057,0.3967476315643558,0.5675904879822803,0.317732668077067,0.20892399896203517,0.04260663507109005,0.3219232060764482,0.964338119546636,0.5266566670391022,0.3645298411475383
11-2021,Marketing Managers,4,384980.0,384980.0,False,171520.0,1043.0,3420.0,728.0,1058.0,60.0,1949.0,4463.0,1786.0,2009.0,1043.0,3420.0,728.0,1058.0,60.0,1949.0,4463.0,1786.0,2009.0,0.0027092316483973192,0.008883578367707413,0.0018910073250558471,0.0027481947114135798,0.00015585225206504234,0.005062600654579459,0.011592810016104732,0.004639202036469427,0.005218452906644501
11-2022,Sales Managers,5,603710.0,603710.0,False,160930.0,1702.0,599.0,1415.0,146.0,57.0,162.0,2301.0,1561.0,219.0,1817.6249739920936,697.8407035738865,1513.8407035738865,177.70362190105791,57.0,211.42035178694323,2515.46567756598,1691.5443254749443,268.42035178694323,0.0030107584336719513,0.0011559203981611808,0.0025075627429956213,0.0002943526227842141,9.441619320534694e-05,0.0003502018382782184,0.004166678831833132,0.002801915365779835,0.00044461803148356535
11-2031,Public Relations and Fundraising Managers (#),6,112980.0,112980.0,False,154948.46875553194,1889.0,7479.0,1420.0,2267.0,219.0,4815.0,9368.0,3687.0,5034.0,1889.0,7479.0,1420.0,2267.0,219.0,4815.0,9368.0,3687.0,5034.0,0.016719773411223226,0.06619755708975039,0.012568596211718889,0.020065498318286423,0.001938396176314392,0.042618162506638343,0.08291733050097362,0.03263409453000531,0.04455655868295273
11-3011,Administrative Services Managers (#),7,395230.0,395230.0,False,121921.13705943375,64.0,50.0,54.0,0.0,0.0,0.0,114.0,54.0,0.0,64.0,50.0,54.0,0.0,0.0,0.0,114.0,54.0,0.0,0.00016193102750297294,0.0001265086152366976,0.00013662930445563343,0.0,0.0,0.0,0.00028843964273967055,0.00013662930445563343,0.0
11-3021,Computer and Information Systems Managers,8,645970.0,645970.0,False,187990.0,1338.0,4204.0,832.0,1260.5,175.0,2598.0,5542.0,2092.5,2773.0,1370.8396961063627,4369.973599240266,856.8516619183285,1312.4222222222222,175.0,2701.8444444444444,5740.813295346628,2169.2738841405508,2876.8444444444444,0.0021221414246890146,0.006764979177423512,0.0013264573616705551,0.0020317076988439434,0.0002709104137963063,0.004182615979758262,0.008887120602112527,0.0033581650605144986,0.0044535263935545685
11-3031,Financial Managers,9,818620.0,818620.0,False,180470.0,5531.0,4540.0,4264.0,1562.0,318.0,1901.0,10071.0,5826.0,2219.0,5531.0,4540.0,4264.0,1562.0,318.0,1901.0,10071.0,5826.0,2219.0,0.0067564926339449315,0.005545918741296328,0.005208765972001661,0.0019080892233270625,0.00038845862549168113,0.002322200776917251,0.01230241137524126,0.007116855195328724,0.002710659402408932
11-3051,Industrial Production Managers,10,234380.0,234380.0,False,129180.0,247.0,320.0,172.0,33.0,0.0,36.0,567.0,205.0,36.0,247.0,320.0,172.0,33.0,0.0,36.0,567.0,205.0,36.0,0.001053844184657394,0.0013653042068435873,0.0007338510111784282,0.00014079699633074496,0.0,0.0001535967232699036,0.0024191483915009812,0.0008746480075091731,0.0001535967232699036
11-3061,Purchasing Managers,11,81240.0,81240.0,False,150630.0,2855.0,1222.0,2529.0,578.0,90.0,409.0,4077.0,3107.0,499.0,2855.0,1222.0,2529.0,578.0,90.0,409.0,4077.0,3107.0,499.0,0.035142786804529785,0.015041851304775972,0.031129985228951256,0.007114721811915313,0.0011078286558345643,0.005034465780403742,0.05018463810930576,0.03824470704086657,0.006142294436238306
11-3071,"Transportation, Storage, and Distribution Managers",12,213000.0,213000.0,False,116010.0,4864.0,1620.0,3808.0,432.0,212.0,620.0,6484.0,4240.0,832.0,4864.0,1620.0,3808.0,432.0,212.0,620.0,6484.0,4240.0,832.0,0.02283568075117371,0.007605633802816901,0.01787793427230047,0.0020281690140845072,0.000995305164319249,0.0029107981220657278,0.03044131455399061,0.019906103286384976,0.0039061032863849767
