iwa_id,iwa_title,occupation_count,task_count,task_dwa_link_count,dwa_count,core_task_count,supplemental_task_count,unclassified_task_count,classified_task_count
4.A.3.b.6.I08,Maintain operational records.,409,533,547,455,417,101,15,518
4.A.4.b.4.I01,Supervise personnel activities.,272,326,339,298,234,72,20,306
4.A.4.b.4.I12,"Direct organizational operations, activities, or procedures.",271,438,466,350,276,145,17,421
4.A.2.b.3.I01,Maintain current knowledge in area of expertise.,257,371,422,356,313,28,30,341
4.A.3.a.1.I03,"Clean tools, equipment, facilities, or work areas.",232,352,394,310,264,77,11,341
4.A.4.c.3.I05,Purchase goods or services.,195,213,216,201,156,47,10,203
4.A.4.b.3.I04,Train others on operational or work procedures.,193,226,234,207,169,50,7,219
4.A.4.a.2.I03,Communicate with others about operational plans or activities.,185,272,274,213,212,45,15,257
4.A.1.a.1.I02,Read documents or materials to inform work processes.,179,200,234,221,171,25,4,196
4.A.3.b.4.I02,Maintain tools or equipment.,166,234,249,214,169,62,3,231
4.A.1.b.3.I01,"Measure physical characteristics of materials, products, or equipment.",158,216,237,213,144,69,3,213
4.A.3.a.2.I09,Adjust equipment to ensure adequate performance.,148,254,273,209,178,65,11,243
4.A.1.b.2.I07,"Inspect commercial, industrial, or production systems or equipment.",146,192,195,163,156,27,9,183
4.A.2.b.1.I10,Select materials or equipment for operations or projects.,142,160,163,149,122,30,8,152
4.A.3.b.6.I03,Present research or technical information.,125,170,177,141,135,18,17,153
4.A.4.b.6.I05,Advise others on business or operational matters.,110,149,151,122,100,40,9,140
4.A.4.a.6.I03,"Promote products, services, or programs.",108,144,150,130,103,36,5,139
4.A.4.c.1.I01,Perform administrative or clerical activities.,108,151,154,125,105,37,9,142
4.A.1.b.2.I12,Test performance of equipment or systems.,107,164,165,132,128,27,9,155
4.A.1.b.2.I06,Inspect completed work or finished products.,102,130,134,110,98,31,1,129
4.A.2.b.4.I03,Develop operational or technical procedures or standards.,102,170,170,124,110,40,20,150
4.A.3.a.1.I06,"Load products, materials, or equipment for transportation or further processing.",101,151,158,128,79,68,4,147
4.A.4.c.3.I01,"Replenish inventories of materials, equipment, or products.",101,119,119,103,80,37,2,117
4.A.1.a.2.I02,Monitor operations to ensure adequate performance.,100,141,141,108,111,23,7,134
4.A.2.a.4.I07,Analyze data to improve operations.,100,165,168,120,121,37,7,158
4.A.1.a.2.I01,Monitor equipment operation.,99,150,152,134,133,17,0,150
4.A.3.b.6.I12,Prepare informational or instructional materials.,99,155,158,140,126,18,11,144
4.A.3.a.1.I10,"Move materials, equipment, or supplies.",98,134,138,111,83,49,2,132
4.A.2.a.2.I03,"Compile records, documentation, or other data.",96,117,118,99,74,38,5,112
4.A.2.b.2.I18,Create visual designs or displays.,96,195,198,125,135,44,16,179
4.A.3.b.6.I11,Maintain health or medical records.,95,138,142,107,118,12,8,130
4.A.4.a.3.I03,"Provide information to guests, clients, or customers.",94,158,165,121,110,36,12,146
4.A.4.b.3.I02,Teach academic or vocational subjects.,94,172,181,162,152,19,1,171
4.A.3.a.2.I12,Cut materials.,93,153,157,125,103,50,0,153
4.A.3.b.6.I15,Prepare reports of operational or procedural activities.,93,98,99,96,81,10,7,91
4.A.1.b.2.I05,Inspect facilities or equipment.,92,121,128,109,91,26,4,117
4.A.4.a.1.I02,"Explain regulations, policies, or procedures.",91,117,120,94,86,24,7,110
4.A.3.a.2.I04,Assemble equipment or components.,88,158,162,123,108,44,6,152
4.A.2.a.2.I01,Evaluate the quality or accuracy of data.,86,119,122,97,87,26,6,113
4.A.3.a.4.I01,Operate transportation equipment or vehicles.,86,136,138,100,92,37,7,129
4.A.4.b.3.I06,Train others on health or medical topics.,86,137,145,114,118,14,5,132
4.A.3.a.2.I41,Position materials or components for assembly.,85,142,142,114,103,39,0,142
4.A.2.b.2.I15,"Develop educational programs, plans, or procedures.",83,194,196,138,170,16,8,186
4.A.3.b.4.I06,Repair tools or equipment.,83,120,145,117,92,25,3,117
4.A.3.b.6.I07,Prepare proposals or grant applications.,83,87,96,93,63,23,1,86
4.A.4.a.2.I05,Confer with healthcare or other professionals about patient care.,83,134,136,108,117,8,9,125
4.A.4.a.2.I11,"Coordinate activities with clients, agencies, or organizations.",82,105,109,96,73,22,10,95
4.A.4.a.2.I08,Notify others of emergencies or problems.,78,109,115,97,93,12,4,105
4.A.4.a.8.I03,Respond to customer problems or inquiries.,78,93,94,84,73,9,11,82
4.A.4.b.6.I07,Advise others on educational or vocational matters.,78,225,229,127,154,65,6,219
4.A.1.a.2.I05,Monitor health conditions of humans or animals.,77,108,112,94,90,14,4,104
4.A.2.b.1.I08,Determine resource needs of projects or operations.,77,92,99,88,68,20,4,88
4.A.3.a.1.I01,Prepare mixtures or solutions.,77,94,95,78,56,35,3,91
4.A.4.a.2.I09,Communicate with others about specifications or project details.,76,113,116,87,89,15,9,104
