method,weight_1,weight_2,correlation
pearson,occupation_weight_within_iwa_task_count,occupation_weight_within_iwa_task_dwa_links,0.99537364816399
pearson,occupation_weight_within_iwa_task_count,occupation_weight_within_iwa_dwa_count,0.8446499757594336
pearson,occupation_weight_within_iwa_task_count,occupation_weight_within_iwa_core_task_count,0.8821175547003995
pearson,occupation_weight_within_iwa_task_count,occupation_weight_within_iwa_classified_task_count,0.9788299175323992
pearson,occupation_weight_within_iwa_task_dwa_links,occupation_weight_within_iwa_dwa_count,0.8540745913404796
pearson,occupation_weight_within_iwa_task_dwa_links,occupation_weight_within_iwa_core_task_count,0.8770402446209972
pearson,occupation_weight_within_iwa_task_dwa_links,occupation_weight_within_iwa_classified_task_count,0.9739816929626126
pearson,occupation_weight_within_iwa_dwa_count,occupation_weight_within_iwa_core_task_count,0.7025863784688618
pearson,occupation_weight_within_iwa_dwa_count,occupation_weight_within_iwa_classified_task_count,0.8190055268894704
pearson,occupation_weight_within_iwa_core_task_count,occupation_weight_within_iwa_classified_task_count,0.8966276792984877
spearman,occupation_weight_within_iwa_task_count,occupation_weight_within_iwa_task_dwa_links,0.9892490213121333
spearman,occupation_weight_within_iwa_task_count,occupation_weight_within_iwa_dwa_count,0.9176711561719888
spearman,occupation_weight_within_iwa_task_count,occupation_weight_within_iwa_core_task_count,0.6071349451088384
spearman,occupation_weight_within_iwa_task_count,occupation_weight_within_iwa_classified_task_count,0.9136958726560054
spearman,occupation_weight_within_iwa_task_dwa_links,occupation_weight_within_iwa_dwa_count,0.929549467008822
spearman,occupation_weight_within_iwa_task_dwa_links,occupation_weight_within_iwa_core_task_count,0.6021758055611328
spearman,occupation_weight_within_iwa_task_dwa_links,occupation_weight_within_iwa_classified_task_count,0.904107433641138
spearman,occupation_weight_within_iwa_dwa_count,occupation_weight_within_iwa_core_task_count,0.531717252990516
spearman,occupation_weight_within_iwa_dwa_count,occupation_weight_within_iwa_classified_task_count,0.8352960452407288
spearman,occupation_weight_within_iwa_core_task_count,occupation_weight_within_iwa_classified_task_count,0.6824153133259379
