onet_soc_code,occupation_title,iwa_count,task_count,task_dwa_link_count,dwa_count,core_task_count,supplemental_task_count,unclassified_task_count,classified_task_count
11-9032.00,"Education Administrators, Kindergarten through Secondary",33,49,50,39,37,12,0,49
43-4121.00,"Library Assistants, Clerical",33,42,42,36,32,10,0,42
17-2141.00,Mechanical Engineers,30,38,39,32,23,15,0,38
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",30,43,43,36,28,15,0,43
49-3011.00,Aircraft Mechanics and Service Technicians,30,49,51,38,41,8,0,49
49-9071.00,"Maintenance and Repair Workers, General",30,38,39,38,30,8,0,38
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",30,43,47,41,14,29,0,43
11-1011.00,Chief Executives,28,40,42,35,25,15,0,40
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",28,39,44,35,23,1,15,24
11-9051.00,Food Service Managers,28,35,36,32,24,11,0,35
11-9121.01,Clinical Research Coordinators,28,39,39,31,30,9,0,39
13-1041.01,Environmental Compliance Inspectors,28,40,42,33,24,16,0,40
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,28,41,41,30,31,4,6,35
19-3091.00,Anthropologists and Archeologists,28,37,37,30,23,14,0,37
21-1014.00,Mental Health Counselors,28,40,40,34,40,0,0,40
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",28,43,44,35,27,16,0,43
11-3071.00,"Transportation, Storage, and Distribution Managers",27,39,42,32,34,0,5,34
11-9171.00,Funeral Home Managers,27,30,30,29,30,0,0,30
17-2121.00,Marine Engineers and Naval Architects,27,37,37,28,30,7,0,37
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,27,37,37,29,16,19,2,35
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",27,44,46,38,36,8,0,44
29-1224.00,Radiologists,27,36,37,32,19,2,15,21
39-9041.00,Residential Advisors,27,35,35,30,24,11,0,35
15-1241.00,Computer Network Architects,26,41,43,35,37,4,0,41
17-3025.00,Environmental Engineering Technologists and Technicians,26,32,32,27,17,15,0,32
