soc_2010,title_2010,group_id
11-1011,Chief Executives,0
11-1021,General and Operations Managers,1
11-1031,Legislators,2
11-2011,Advertising and Promotions Managers,3
11-2021,Marketing Managers,4
11-2022,Sales Managers,5
11-2031,Public Relations and Fundraising Managers (#),6
11-3011,Administrative Services Managers (#),7
11-3021,Computer and Information Systems Managers,8
11-3031,Financial Managers,9
11-3051,Industrial Production Managers,10
11-3061,Purchasing Managers,11
11-3071,"Transportation, Storage, and Distribution Managers",12
11-3111,Compensation and Benefits Managers,13
11-3121,Human Resources Managers,14
11-3131,Training and Development Managers,15
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",16
11-9021,Construction Managers,17
11-9031,"Education Administrators, Preschool and Childcare Center/Program",18
11-9032,"Education Administrators, Elementary and Secondary School",19
11-9033,"Education Administrators, Postsecondary",20
11-9039,"Education Administrators, All Other",21
11-9041,Architectural and Engineering Managers,22
11-9051,Food Service Managers,23
11-9061,Funeral Service Managers,33
11-9071,Gaming Managers,24
11-9081,Lodging Managers,26
11-9111,Medical and Health Services Managers,27
11-9121,Natural Sciences Managers,28
11-9131,Postmasters and Mail Superintendents,29
11-9141,"Property, Real Estate, and Community Association Managers",30
11-9151,Social and Community Service Managers,31
11-9161,Emergency Management Directors,32
11-9199,"Managers, All Other (#)",25
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",34
13-1021,"Buyers and Purchasing Agents, Farm Products",35
13-1022,"Wholesale and Retail Buyers, Except Farm Products",36
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",37
13-1031,"Claims Adjusters, Examiners, and Investigators",38
13-1032,"Insurance Appraisers, Auto Damage",39
13-1041,Compliance Officers,40
13-1051,Cost Estimators,41
13-1071,Human Resources Specialists,42
13-1074,Farm Labor Contractors,43
13-1075,Labor Relations Specialists,44
13-1081,Logisticians,45
13-1111,Management Analysts,46
13-1121,"Meeting, Convention, and Event Planners",47
13-1131,Fundraisers,48
13-1141,"Compensation, Benefits, and Job Analysis Specialists",49
13-1151,Training and Development Specialists,50
13-1161,Market Research Analysts and Marketing Specialists,51
13-1199,"Business Operations Specialists, All Other (#)",25
13-2011,Accountants and Auditors,52
13-2021,Appraisers and Assessors of Real Estate (#),53
