soc_2018,title_2018,group_id,mean_us_work_related_messages_iwa_share,oews_tot_emp_imputed,oews_tot_emp_adjusted,oews_emp_was_imputed,oews_a_mean,oews_a_median,oews_broad_match,oews_soc_2018_broad
11-1011,Chief Executives,0,0.003538401559177293,211850.0,211850.0,False,262930.0,206420.0,False,
11-1021,General and Operations Managers,1,0.007695648850826749,3584420.0,3584420.0,False,133120.0,102950.0,False,
11-1031,Legislators,2,0.00012071919760283497,26510.0,26510.0,False,67390.0,44810.0,False,
11-2011,Advertising and Promotions Managers,3,0.0002931168828453477,21100.0,21100.0,False,149270.0,126960.0,False,
11-2021,Marketing Managers,4,0.001288520779609736,384980.0,384980.0,False,171520.0,161030.0,False,
11-2022,Sales Managers,5,0.002112593154697746,603710.0,603710.0,False,160930.0,138060.0,False,
11-2032,Public Relations Managers,6,0.005833646499793392,76060.0,76060.0,False,163520.0,138520.0,False,
11-2033,Fundraising Managers,6,0.0028983470249989937,36920.0,36920.0,False,137290.0,123480.0,False,
11-3012,Administrative Services Managers,7,0.0008110501713990579,254140.0,254140.0,False,126030.0,108390.0,False,
11-3013,Facilities Managers,7,0.0006461293269710529,141090.0,141090.0,False,114520.0,104690.0,False,
11-3021,Computer and Information Systems Managers,8,0.002674208235882373,645970.0,645970.0,False,187990.0,171200.0,False,
11-3031,Financial Managers,9,0.01353722567663965,818620.0,818620.0,False,180470.0,161700.0,False,
11-3051,Industrial Production Managers,10,0.0019236987717063865,234380.0,234380.0,False,129180.0,121440.0,False,
11-3061,Purchasing Managers,11,0.00021864052445757148,81240.0,81240.0,False,150630.0,139510.0,False,
11-3071,"Transportation, Storage, and Distribution Managers",12,0.0007556425808936282,213000.0,213000.0,False,116010.0,102010.0,False,
11-3111,Compensation and Benefits Managers,13,8.076592197013448e-05,20070.0,20070.0,False,156230.0,140360.0,False,
11-3121,Human Resources Managers,14,0.0013009035393677455,215520.0,215520.0,False,160480.0,140030.0,False,
11-3131,Training and Development Managers,15,0.0003999203708000735,44960.0,44960.0,False,140590.0,127090.0,False,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",16,1.7677654988924328e-05,5910.0,5910.0,False,97240.0,87980.0,False,
11-9021,Construction Managers,17,0.0011423085606579511,348330.0,348330.0,False,119660.0,106980.0,False,
11-9031,"Education and Childcare Administrators, Preschool and Daycare",18,0.0010551088000553734,71620.0,71620.0,False,62640.0,56270.0,False,
11-9032,"Education Administrators, Kindergarten through Secondary",19,0.005003220888435397,319630.0,319630.0,False,113360.0,104070.0,False,
11-9033,"Education Administrators, Postsecondary",20,0.001095297500088049,176420.0,176420.0,False,124450.0,103960.0,False,
11-9039,"Education Administrators, All Other",21,0.0,53330.0,53330.0,False,99460.0,89040.0,False,
11-9041,Architectural and Engineering Managers,22,0.0012206937248375124,210340.0,210340.0,False,175710.0,167740.0,False,
11-9051,Food Service Managers,23,0.0007030928353562335,244230.0,244230.0,False,72370.0,65310.0,False,
11-9071,Gambling Managers,24,1.13698414230906e-05,4620.0,4620.0,False,102480.0,85580.0,False,
11-9072,"Entertainment and Recreation Managers, Except Gambling",25,0.00021614422508179558,36700.0,36700.0,False,87060.0,77180.0,False,
11-9081,Lodging Managers,26,8.599435522526491e-05,41350.0,41350.0,False,77460.0,68130.0,False,
11-9111,Medical and Health Services Managers,27,0.0019669716383162047,565840.0,565840.0,False,137730.0,117960.0,False,
